zip,totkbtu,avgkbtu
94107,452532268.3,29050.39386
94108,261980990.8,42854.90966
94109,1416136649,45401.07301
94110,1143318708,39052.86619
94111,18022328.16,17090.87545
94112,1172141373,54358.83511
94114,825219198.7,43307.04646
94115,897659500.9,49415.81576
94116,803940769.9,51907.15123
94117,906045091.6,43146.71653
94118,948328046.6,48294.53789
94121,889738879.2,45251.49627
94122,1073765127,45750.25373
94123,786798667.8,49394.14183
94124,532867561.8,50765.30684
94127,528476458.6,67752.27017
94129,73152000,2075970.202
94130,0,0
94131,658212512.2,48258.48166
94132,548790454.7,56893.33011
94133,478818872.3,35828.39432
94134,569635737.7,52302.82541
94158,54755250.97,12121.59192
94301,0,0
94303,409808037.8,52531.15776
94305,139524224.8,134616.8787
94306,0,0
94401,595162979.9,45081.13176
94402,707713328.5,65463.95205
94403,923907439.9,50518.77969
94404,730973772.4,45250.61818
94501,885539600,839768.7065
94502,209010100,765791.7684
94503,379434868.3,61791.29738
94505,415277139.3,69579.69618
94506,873265141,92394.09947
94507,741244574.5,121013.3482
94508,78380991.97,74988.39213
94509,1446218221,57132.84476
94510,646398893.4,52231.70398
94511,33906335.4,30147.89751
94512,0,0
94513,1434869889,62372.3706
94514,57400307.91,53927.38435
94515,171903714,58478.52441
94517,352519195.5,70411.89291
94518,641414806.1,57771.56391
94519,433346951.3,56345.78119
94520,649285993.2,44870.44481
94521,1014654103,56454.49789
94523,849414027.7,53495.83669
94525,94628313.12,51906.94822
94526,1114806463,80794.00571
94528,66129728.98,153878.0403
94530,573946043.1,48402.03126
94531,1000909422,68355.01766
94533,1567901044,58405.84606
94534,937726628.8,63464.82442
94535,0,0
94536,1349767718,49937.35981
94538,1039382634,43348.88148
94539,1067341792,57755.70496
94541,1162378996,48003.74968
94542,328574683.1,59722.12044
94544,1233377062,49645.15786
94545,541622190.5,53062.13053
94546,991061815.6,53223.35088
94547,528254757.6,54151.32585
94548,10960092.37,39460.27856
94549,1019159774,85644.96794
94550,1243803073,62322.14675
94551,827486185.5,53584.1066
94552,329692433.9,58752.42831
94553,1148640847,54523.22812
94555,644131186.1,49717.22484
94556,516993972.5,77253.16796
94558,1643715237,60424.73698
94559,613101155.9,51666.51712
94560,777467572.7,49371.27516
94561,865348913.7,59097.59957
94562,8743394.558,64408.06304
94563,744599833,97402.33134
94564,422591178.5,54209.51511
94565,1782932194,55548.48839
94566,1154503567,66891.3244
94567,9427938.412,29271.73634
94568,1232840746,51912.87275
94569,0,0
94571,258150557.2,48748.46764
94572,186460710.4,59056.15675
94573,11189354.17,60619.52596
94574,290291045.7,69723.11942
94576,16262204.61,71209.63905
94577,930423808.2,50146.43274
94578,706362882.2,44122.99883
94579,429664843.5,59153.79792
94580,541130536.3,52589.19409
94582,935554146.2,58541.31656
94583,973010583.4,61327.53015
94585,622477515.9,56782.39842
94586,26737998.2,64273.39038
94587,1198003205,51679.05602
94588,771639902.1,58406.2969
94589,594242570.4,56513.72934
94590,785268343.8,48681.54076
94591,1205072864,55163.34235
94595,517245111.6,46621.32184
94596,589590950.8,55510.13476
94597,553672101.8,46028.7928
94598,828614377.8,70326.57548
94599,68450078.99,57618.31578
94601,760995023.7,45594.2964
94602,644949175.9,48476.23013
94603,538751133.5,49672.96665
94605,966321477.4,53805.20213
94606,667575556.3,40169.76033
94607,417727917.2,36953.92315
94608,525668215.4,33602.6845
94609,422071011,40301.14253
94610,689335892.8,41034.33073
94611,1113344534,59569.99195
94612,217916071.6,30285.83839
94613,0,0
94618,446587845.8,53987.48448
94619,558851849.2,53125.28224
94621,479530281.6,46697.5452
94702,346454187.7,42489.23195
94703,391499398.4,40447.51291
94704,288081632.8,31959.48871
94705,368539445.1,57382.58999
94706,330660333.9,41983.01609
94707,363491409.9,63897.61079
94708,364788687.7,69475.4541
94709,224427904.1,39805.85603
94710,133487233.8,37369.66156
94720,0,0
94801,493179130.5,45597.46397
94803,598793885.8,57056.24555
94804,779700323.3,48188.43502
94805,292883487,51342.49681
94806,1062285733,47604.21749
94901,972091523.8,58219.66264
94903,801722832.1,61893.80478
94904,308635456.8,76647.16454
94920,501904027.5,80980.83437
94922,6583543.025,35959.27005
94923,27692572.98,19535.05824
94924,6315724.029,19269.94364
94925,265501121.1,62663.88135
94928,918831497.9,54474.91078
94929,7728702.115,19075.36516
94930,24421068.39,89875.58329
94931,212132212.9,54001.1361
94933,6555508.87,23780.56422
94937,6297581.672,17360.66622
94938,0,0
94939,292100786.3,58240.19506
94940,0,0
94941,927593270.7,67803.20074
94945,478638778.4,63000.20117
94946,5573665.115,29805.6958
94947,647559821.8,62503.83865
94949,449531148,61848.6084
94951,112893798,66036.01645
94952,815556712.1,57803.52742
94954,862111782.5,57125.05302
94956,1519297.008,18641.68108
94957,119476209.5,136822.4451
94960,453964276.6,70799.21578
94963,1612407.529,26325.02088
94964,0,0
94965,307500154.8,48776.03099
94970,13614632.78,20783.05475
94971,4789541.319,20607.56394
94972,0,0
94973,10056611.86,27678.74824
95002,30395743.6,63731.08342
95003,611130587.4,52483.35233
95004,50023253.77,38232.38595
95005,149326022.6,61961.86223
95006,134174109,35746.87527
95007,22748980.96,70832.32266
95008,1009452173,47579.55371
95010,227141940.9,44004.51218
95012,141074245.6,50113.84974
95013,0,0
95014,1292833958,54872.08839
95017,3086633.558,20262.36471
95018,141670701.2,49415.918
95019,73893728.7,42867.28262
95020,1169972242,58059.95702
95023,925308439.1,53438.03023
95030,542098041.5,93563.58265
95032,773608983.2,66884.6931
95033,105639324.9,32626.54807
95035,1181368589,47939.0414
95037,1116308974,64074.87343
95039,14690630.28,53461.78511
95041,21158633.86,58073.60451
